iter	Logloss
0	0.6833519779
1	0.6743643739
2	0.6664731696
3	0.6593684532
4	0.6531215017
5	0.6476476736
6	0.6424669509
7	0.6379638903
8	0.633858646
9	0.6297129056
10	0.6261907967
11	0.6229744799
12	0.620055946
13	0.6174211428
14	0.6148437333
15	0.6126435633
16	0.6105683019
17	0.6087809277
18	0.6068525219
19	0.6054211465
20	0.603963043
21	0.6026585991
22	0.6014351719
23	0.600034051
24	0.5988038839
25	0.5976178445
26	0.596518378
27	0.5956685718
28	0.5945458309
29	0.5936810643
30	0.5928834997
31	0.5923337691
32	0.5917611539
33	0.5911544506
34	0.5904223792
35	0.5896533512
36	0.5890461684
37	0.5886138221
38	0.5880648418
39	0.5875384451
40	0.5871621548
41	0.5865634431
42	0.5859070847
43	0.5854751311
44	0.5851199679
45	0.5847973104
46	0.5843427752
47	0.5839901359
48	0.5837496724
49	0.583311558
50	0.5830779211
51	0.5828218406
52	0.5824723602
53	0.5822133362
54	0.5819100616
55	0.5816088837
56	0.5812051387
57	0.5809635542
58	0.5807763064
59	0.5805654888
60	0.5804193103
61	0.5802489993
62	0.5800713923
63	0.5798674903
64	0.5797049798
65	0.5794371895
66	0.5792079194
67	0.5789550738
68	0.5788454942
69	0.5787413663
70	0.5785490224
71	0.578447812
72	0.5782983489
73	0.5780252265
74	0.5778042569
75	0.5777365412
76	0.577678946
77	0.5774544484
78	0.5773618607
79	0.5772873719
80	0.5772125842
81	0.5771394605
82	0.5770066617
83	0.5769469712
84	0.5769015286
85	0.5767366505
86	0.5765442889
87	0.5764925959
88	0.5764275507
89	0.5763201351
90	0.5762808228
91	0.5761919353
92	0.5761260163
93	0.5760522098
94	0.5759317813
95	0.5758398328
96	0.5757998652
97	0.5757580294
98	0.5756811684
99	0.5756129669
100	0.5755596305
101	0.5755119549
102	0.575334614
103	0.575259956
104	0.5751911115
105	0.5749138802
106	0.574884407
107	0.5748545345
108	0.574824883
109	0.5747451376
110	0.574579689
111	0.5744562295
112	0.5744137697
113	0.5743659599
114	0.5742772442
115	0.5741678152
116	0.574062458
117	0.5739499053
118	0.5739217397
119	0.5738554073
120	0.5737825105
121	0.5737072926
122	0.5736623289
123	0.5736384597
124	0.5735121897
125	0.5734068692
126	0.5732204474
127	0.5731997047
128	0.5731895943
129	0.5731269622
130	0.5730478484
131	0.573017154
132	0.5729172162
133	0.5728301316
134	0.5728008294
135	0.5727849551
136	0.5727655532
137	0.5726413778
138	0.5724866426
139	0.5724430172
140	0.5724186105
141	0.5723695101
142	0.5723005839
143	0.5722330513
144	0.5721878824
145	0.5721781211
146	0.5721144343
147	0.5719644344
148	0.5718945156
149	0.5718772528
150	0.5718501835
151	0.5718353916
152	0.5718053188
153	0.5717891476
154	0.5717663505
155	0.5717542349
156	0.5716968551
157	0.5716311268
158	0.5715875638
159	0.5715691136
160	0.5715406293
161	0.5714315358
162	0.5713966599
163	0.5713568174
164	0.5712391642
165	0.5712045288
166	0.5711845419
167	0.571152128
168	0.5711399196
169	0.5709157993
170	0.5708591683
171	0.5708093535
172	0.5707947794
173	0.5707844936
174	0.5707698128
175	0.5706414936
176	0.5705831209
177	0.5705541793
178	0.5705461406
179	0.5705363907
180	0.5703877333
181	0.5703730243
182	0.5703628225
183	0.570304004
184	0.5702945587
185	0.5702600232
186	0.5702395313
187	0.5702294001
188	0.5701822386
189	0.5701272294
190	0.5701108343
191	0.5700783614
192	0.5700679013
193	0.5700162844
194	0.5700109782
195	0.5699976546
196	0.5699773181
197	0.569946491
198	0.5699391402
199	0.5699065938
200	0.5698950528
201	0.5698757549
202	0.569865264
203	0.5698424989
204	0.5697800139
205	0.5697074943
206	0.5696924614
207	0.569662598
208	0.5696421034
209	0.5695700134
210	0.5695361608
211	0.5695160524
212	0.5694847814
213	0.5694595368
214	0.5694445234
215	0.5694319373
216	0.5694240378
217	0.5694078341
218	0.5693857436
219	0.5693736501
220	0.569366753
221	0.5693127938
222	0.5692848222
223	0.5692431997
224	0.5692336444
225	0.5691941821
226	0.5691873449
227	0.5691789421
228	0.5691358918
229	0.5691217337
230	0.5690993523
231	0.5690565459
232	0.5690062725
233	0.5690000545
234	0.5689832445
235	0.5689741465
236	0.5689515223
237	0.5689344831
238	0.5689224566
239	0.5688849837
240	0.5688657722
241	0.5688574219
242	0.5688466722
243	0.5688145831
244	0.5688035158
245	0.5687391718
246	0.568721246
247	0.5687072238
248	0.5686840965
249	0.5686417869
250	0.5686316583
251	0.5686172588
252	0.5686009176
253	0.5685870851
254	0.5685757365
255	0.5685581399
256	0.5685406388
257	0.5684690119
258	0.5684606607
259	0.5684161483
260	0.5683992731
261	0.5683855231
262	0.5683020181
263	0.5682046493
264	0.5681955298
265	0.5681391824
266	0.568125083
267	0.5680908474
268	0.5680182279
269	0.5679978344
270	0.5679818448
271	0.5679687332
272	0.5679361003
273	0.5679270233
274	0.5678534301
275	0.5678368862
276	0.5678168158
277	0.5678047315
278	0.5677878241
279	0.567775496
280	0.5677501101
281	0.5677409864
282	0.5676860671
283	0.5676304295
284	0.5675829197
285	0.5675708859
286	0.5675455281
287	0.567529874
288	0.5675062151
289	0.5674342845
290	0.5672648355
291	0.5672109741
292	0.5671893084
293	0.5671736486
294	0.5671452622
295	0.5671343435
296	0.5670900092
297	0.5670622104
298	0.5670279233
299	0.5670032632
